epoch,accuracy,loss,val_accuracy,val_loss
0,0.28425055742263794,2.929715156555176,0.14178240299224854,3.4957118034362793
1,0.45617830753326416,2.0586531162261963,0.26369598507881165,2.7628047466278076
2,0.5086968541145325,1.787615180015564,0.34432870149612427,2.3756775856018066
3,0.5455089211463928,1.6254743337631226,0.33796295523643494,2.4542410373687744
4,0.569206714630127,1.5265895128250122,0.39699074625968933,2.1848649978637695
5,0.5818608403205872,1.455133318901062,0.41377314925193787,2.168858766555786
6,0.5911865830421448,1.4152262210845947,0.44907405972480774,2.047393321990967
7,0.6057887077331543,1.362958550453186,0.44290122389793396,2.044726848602295
8,0.6134732365608215,1.3259488344192505,0.4652777910232544,1.9467577934265137
9,0.6211577653884888,1.296204924583435,0.4718364179134369,1.9787944555282593
10,0.624532163143158,1.2811639308929443,0.467785507440567,1.9925203323364258
11,0.6329376101493835,1.2474052906036377,0.48630401492118835,1.9398910999298096
12,0.6373550295829773,1.2324118614196777,0.49768519401550293,1.9018305540084839
13,0.6415424346923828,1.2186201810836792,0.4830246865749359,1.9512461423873901
14,0.6421099305152893,1.2084094285964966,0.49189814925193787,1.937164068222046
15,0.6459445357322693,1.1915862560272217,0.4934413433074951,1.904779314994812
16,0.6503313183784485,1.181154489517212,0.4839892089366913,1.9496605396270752
17,0.6530001759529114,1.1736245155334473,0.49942129850387573,1.8572977781295776
18,0.6573102474212646,1.1611651182174683,0.46720677614212036,2.0830252170562744
19,0.6551782488822937,1.1669425964355469,0.48668980598449707,1.9940389394760132
20,0.6594576239585876,1.14437735080719,0.5001928806304932,1.8852471113204956
21,0.663246214389801,1.1370233297348022,0.5034722089767456,1.9204283952713013
22,0.661865770816803,1.1378780603408813,0.5075231194496155,1.8903226852416992
23,0.6631388664245605,1.1314650774002075,0.4978780746459961,1.9466607570648193
24,0.6665899753570557,1.121678352355957,0.5042438507080078,1.9551206827163696
25,0.6661911606788635,1.1264641284942627,0.4951774775981903,1.9948447942733765
26,0.6682004928588867,1.1165399551391602,0.5081018805503845,1.8644554615020752
27,0.669228196144104,1.1093077659606934,0.5079089403152466,1.9178078174591064
28,0.67251056432724,1.1102243661880493,0.5017361044883728,1.9816843271255493
29,0.6714982390403748,1.1107295751571655,0.5127314925193787,1.8993650674819946
